Selection criteria,Rating scale definitions for scores 5 and 1 (highest versus lowest)
,
,
Patients identified this novel endpoint as important to them,"5 -- Patients have identified this novel endpoint as measuring an reflect an aspect of the disease or illness that is important to them
1 -- Patients were not involved in the identification of this novel endpoint"
This novel endpoint addresses an unmet need,"5 – There is high unmet need in this therapeutic area because no high quality, validated, and efficient endpoints exist 
1 – There is no unmet need in this therapeutic area because high quality, validated, and efficient endpoints already exist"
There is benefit from collecting data to generate the novel endpoint in the real-world in real-time ,"5 – Collecting data in real-time would be of significant benefit to endpoints in this therapeutic area 
1 – Collecting data in real-time would not be of any significant improvement to endpoints in this therapeutic area"
The digital technology used for this novel endpoint reduces participation burden to patients and their caregivers,"5 – Collecting data using digital technology for this endpoint in this therapeutic area would significantly reduce the burden of collecting data for patients and their caregivers 
1 – Collecting data using digital technology for this endpoint in this therapeutic area would significantly increase the burden of collecting data for patients and their caregivers "
This novel endpoint is for a significant disease/health condition,"5 – This novel endpoint is for a disease/health condition that is very significant 
1 – This novel endpoint addresses a disease/health condition that is insignificant "
The digital technology used to generate data for this novel endpoint is easily tolerated by the patient/caregiver ,"5 – The digital technology used to generate data for this novel endpoint is very easy for the patient/caregiver to tolerate 
1 – The digital technology used to generate data for this novel endpoint is very difficult for the patient/caregiver to tolerate"
The use of this novel endpoint allows a broader population to participate in clinical trials ,"5 – Use of this novel endpoint is very likely to broaden the populations able to participate 
1 – Use of this novel endpoint is very unlikely to broaden the populations who are able to participate"
This novel endpoint is easily comprehensible ,"5 – The outcome is easy to comprehend   
1 – The outcome is difficult to comprehend"
The digital technology used to measure this novel endpoint is advanced in its development,"5 – The digital technology used to measure this novel endpoint is advanced in its development 
1 – The digital technology used to measure this novel endpoint is in the very early stages of development"
The digital technology used to generate data for this novel endpoint has the ability to measure multiple endpoints  ,"5 – The digital technology used to generate data for this novel endpoint currently can be used to measure many novel endpoints 
1 – The digital technology used to generate data for this novel endpoint currently can only be used to measure this one novel endpoint"
Use of this novel endpoint reduces work for study personnel,"5 – Collecting data using digital technology for this endpoint in this therapeutic area would significantly reduce the volume of work on study personnel 
1 – Collecting data using digital technology for this endpoint in this therapeutic area would have no impact on the volume of work for study personnel"
The digital technology used for this novel endpoint is adaptable across multiple disease or therapeutic areas,"5 – The digital technology used to generate data for this novel endpoint could be used to measure many novel endpoints across many therapeutic areas 
1 – The digital technology used to generate data for this novel endpoint could only be used to measure this novel endpoint or endpoints within this one therapeutic area"
This novel endpoint may be used in a therapeutic area that is amenable to potential collaboration ,"5 – Collaboration to expedite the validation of this novel endpoint is highly likely
1 – Collaboration to expedite the validation of this novel endpoint is highly unlikely"
The digital technology used to measure this novel endpoint helps reduce bias during outcome ascertainment ,"5 – The digital technology used for this novel endpoint offers new opportunity for unbiased outcome ascertainment 
1 – The digital technology used for this novel endpoint offers no new opportunity for unbiased outcome ascertainment"
